episode, reward, success, duration, steps, total_steps, memory length, avg_critic_loss, avg_actor_loss
1, -7800.36740899086, 2, 14.968996509000135, 656, 25422,                                                 25422, 0.0, 9532.826171875
2, -4272.263969302177, 2, 12.222239992999675, 515, 25937,                                                 25937, 0.0, 7437.201171875
3, -3953.2947478294373, 2, 9.923809771000379, 424, 26361,                                                 26361, 0.0, 6009.23046875
4, -8261.820449471474, 2, 29.78669597699991, 1290, 27651,                                                 27651, 0.0, 9677.7958984375
5, -3522.5759078264236, 2, 8.535033858999668, 368, 28019,                                                 28019, 0.0, 7712.0263671875
6, -5122.600452423096, 2, 14.736946118999185, 632, 28651,                                                 28651, 0.0, 8332.2900390625
7, -7348.863254189491, 2, 11.329166151001118, 483, 29134,                                                 29134, 0.0, 8283.994140625
8, -4078.7399463653564, 2, 8.521477155001776, 362, 29496,                                                 29496, 0.0, 6223.6669921875
9, -3505.667255759239, 2, 7.715321152998513, 327, 29823,                                                 29823, 0.0, 8503.3857421875
10, -4427.329865098, 2, 10.948856421000528, 474, 30297,                                                 30297, 0.0, 6214.64306640625
11, -7111.8969559669495, 2, 18.563456552998105, 801, 31098,                                                 31098, 0.0, 5744.015625
12, -5647.608346700668, 2, 13.933565579001879, 595, 31693,                                                 31693, 0.0, 5289.65576171875
13, -3441.6350758075714, 2, 5.716469110000617, 235, 31928,                                                 31928, 0.0, 4538.8212890625
14, -3607.6647955179214, 2, 8.522747840997908, 336, 32264,                                                 32264, 0.0, 5867.45068359375
15, -3284.1105287075043, 3, 9.156467297001655, 394, 32658,                                                 32658, 0.0, 6385.84521484375
16, -5212.887602686882, 2, 14.34134346999781, 640, 33298,                                                 33298, 0.0, 5528.1337890625
17, -4035.2035052776337, 3, 9.729877943002066, 432, 33730,                                                 33730, 0.0, 5028.65283203125
18, -3892.2834663391113, 2, 10.140288123002392, 371, 34101,                                                 34101, 0.0, 5428.3466796875
19, -5565.550874710083, 2, 13.94877525099946, 528, 34629,                                                 34629, 0.0, 5650.01953125
20, -4417.681168079376, 2, 7.72257035399889, 367, 34996,                                                 34996, 0.0, 5764.04150390625
21, -3814.7771496772766, 2, 5.53078543400261, 263, 35259,                                                 35259, 0.0, 5076.05859375
22, -2970.37877702713, 2, 5.33701166100218, 223, 35482,                                                 35482, 0.0, 5394.46630859375
23, -3596.6756727695465, 2, 6.7211442359985085, 309, 35791,                                                 35791, 0.0, 6356.98193359375
24, -3212.4922637939453, 2, 5.9545644450008695, 272, 36063,                                                 36063, 0.0, 6161.45703125
25, -5008.972902059555, 2, 11.144042642998102, 435, 36498,                                                 36498, 0.0, 5743.89208984375
26, -3226.7100135087967, 2, 7.759631251999963, 155, 36653,                                                 36653, 0.0, 4600.29833984375
27, -3526.8585867881775, 2, 6.716312652999477, 283, 36936,                                                 36936, 0.0, 5454.0595703125
28, -4239.723703920841, 2, 7.922385869002028, 351, 37287,                                                 37287, 0.0, 5463.45068359375
29, -3938.1286454200745, 2, 8.750077802000305, 349, 37636,                                                 37636, 0.0, 5096.26806640625
30, -3855.709342122078, 2, 7.132439427001373, 222, 37858,                                                 37858, 0.0, 5641.83447265625
31, -4417.75509428978, 2, 11.937181657998735, 588, 38446,                                                 38446, 0.0, 5629.7275390625
32, -4342.1222586631775, 2, 8.719410763998894, 397, 38843,                                                 38843, 0.0, 5929.76025390625
33, -7215.3708864450455, 2, 26.567030155001703, 1179, 40022,                                                 40022, 0.0, 5991.15625
34, -6641.2725121974945, 2, 14.751790630001778, 605, 40627,                                                 40627, 0.0, 5230.345703125
35, -3292.792354941368, 2, 6.123949818000256, 243, 40870,                                                 40870, 0.0, 6750.2109375
36, -3401.990236878395, 2, 6.93831457700071, 293, 41163,                                                 41163, 0.0, 6186.84814453125
37, -3571.953444480896, 2, 6.114230798997596, 255, 41418,                                                 41418, 0.0, 5358.37451171875
38, -3292.44784617424, 2, 5.519752128999244, 244, 41662,                                                 41662, 0.0, 5161.11279296875
39, -5988.166847705841, 2, 13.129131169000175, 607, 42269,                                                 42269, 0.0, 6150.11572265625
40, -3332.741529107094, 2, 5.937199189000239, 252, 42521,                                                 42521, 0.0, 5975.396484375
41, -4019.480046272278, 2, 8.11881536799774, 338, 42859,                                                 42859, 0.0, 5877.22314453125
42, -5027.169594287872, 2, 12.964460393999616, 545, 43404,                                                 43404, 0.0, 6816.00390625
43, -3966.281349182129, 2, 10.328192928001954, 421, 43825,                                                 43825, 0.0, 5733.1982421875
44, -4220.025552511215, 2, 10.32452850199843, 426, 44251,                                                 44251, 0.0, 6865.48291015625
45, -4002.3246653079987, 3, 9.725342659003218, 404, 44655,                                                 44655, 0.0, 6631.42333984375
46, -3375.727667570114, 2, 5.512709234997601, 226, 44881,                                                 44881, 0.0, 6310.2421875
47, -4321.34140586853, 2, 8.918104763000883, 368, 45249,                                                 45249, 0.0, 5252.44921875
48, -4977.198284626007, 2, 12.36063580300106, 524, 45773,                                                 45773, 0.0, 6972.62158203125
49, -3562.495970249176, 2, 6.311150575998909, 258, 46031,                                                 46031, 0.0, 6586.42138671875
50, -6241.222370624542, 2, 16.537875175999943, 693, 46724,                                                 46724, 0.0, 6292.10107421875
51, -5470.878463506699, 2, 15.564504486999795, 658, 47382,                                                 47382, 0.0, 5919.11572265625
52, -3293.4828994870186, 2, 6.914725263999571, 284, 47666,                                                 47666, 0.0, 5196.70068359375
53, -4117.008706569672, 2, 6.7185302739999315, 277, 47943,                                                 47943, 0.0, 6278.6767578125
54, -3125.668294072151, 2, 6.34008491500208, 264, 48207,                                                 48207, 0.0, 6963.03466796875
55, -6357.147484302521, 2, 14.125269416002993, 593, 48800,                                                 48800, 0.0, 6710.130859375
56, -3468.4908376932144, 2, 6.5227888119989075, 260, 49060,                                                 49060, 0.0, 7653.69873046875
57, -4984.811851024628, 2, 13.936054347999743, 579, 49639,                                                 49639, 0.0, 6402.82421875
58, -3452.6744364500046, 2, 7.143432033997669, 297, 49936,                                                 49936, 0.0, 6492.12060546875
59, -4934.002998590469, 2, 12.927992699002061, 528, 50464,                                                 50464, 0.0, 6103.3671875
60, -4081.609296321869, 3, 9.948304151999764, 415, 50879,                                                 50879, 0.0, 7329.21826171875
61, -3960.3256928920746, 2, 8.120203710997885, 325, 51204,                                                 51204, 0.0, 8064.580078125
62, -3044.5226930975914, 2, 5.934326175000024, 243, 51447,                                                 51447, 0.0, 6317.306640625
63, -5737.019757032394, 2, 20.54647806200228, 858, 52305,                                                 52305, 0.0, 7563.54833984375
64, -6981.482387065887, 2, 23.377730709999014, 971, 53276,                                                 53276, 0.0, 7020.38427734375
65, -4663.386220216751, 2, 9.31866529599938, 381, 53657,                                                 53657, 0.0, 9094.6376953125
66, -1739.071545302868, 1, 10.55299536900202, 432, 54089,                                                 54089, 0.0, 6340.33935546875
67, -3115.7271094322205, 2, 2.50898339899868, 94, 54183,                                                 54183, 0.0, 8047.916015625
68, -3644.4482598900795, 2, 10.124747841000499, 406, 54589,                                                 54589, 0.0, 6696.708984375
69, -5740.061891436577, 2, 18.566808879000746, 776, 55365,                                                 55365, 0.0, 7837.6748046875
70, -3868.2983219623566, 2, 6.511187517000508, 262, 55627,                                                 55627, 0.0, 6841.296875
71, -3302.625978708267, 2, 5.542057622998982, 222, 55849,                                                 55849, 0.0, 11633.076171875
72, -2880.090860724449, 2, 6.317383805002464, 250, 56099,                                                 56099, 0.0, 6051.71240234375
73, -3331.6213450431824, 2, 5.514357566000399, 217, 56316,                                                 56316, 0.0, 6514.55126953125
74, -3298.8356717824936, 2, 7.716587218001223, 312, 56628,                                                 56628, 0.0, 8169.53369140625
75, -5619.74308180809, 2, 14.156641419998778, 578, 57206,                                                 57206, 0.0, 6129.04150390625
76, -5784.0384894013405, 2, 21.145263357997464, 859, 58065,                                                 58065, 0.0, 9487.447265625
77, -6714.36159157753, 2, 14.96306044100129, 610, 58675,                                                 58675, 0.0, 7725.3369140625
78, -3729.968986272812, 3, 9.118334424998466, 369, 59044,                                                 59044, 0.0, 6482.15966796875
79, -6146.26215839386, 2, 18.56896398099707, 751, 59795,                                                 59795, 0.0, 11134.060546875
80, -4045.839512825012, 2, 8.522608923998632, 341, 60136,                                                 60136, 0.0, 6640.1318359375
81, -5184.916903853416, 2, 17.34247874400171, 701, 60837,                                                 60837, 0.0, 11120.13671875
82, -4241.892273426056, 3, 9.750489455000206, 397, 61234,                                                 61234, 0.0, 13117.794921875
83, -5092.100703120232, 2, 17.533516745999805, 705, 61939,                                                 61939, 0.0, 7688.78369140625
84, -5169.940023064613, 3, 14.968496849000076, 602, 62541,                                                 62541, 0.0, 8231.357421875
85, -4540.470467239618, 2, 15.74040551500002, 635, 63176,                                                 63176, 0.0, 6578.427734375
86, -3219.1024901866913, 2, 8.320583410000836, 326, 63502,                                                 63502, 0.0, 5603.61083984375
87, -4634.177034437656, 2, 14.733551906003413, 594, 64096,                                                 64096, 0.0, 6619.01025390625
88, -3148.653998017311, 2, 7.5461992919990735, 302, 64398,                                                 64398, 0.0, 6095.53076171875
89, -4619.450426876545, 2, 16.133797875998425, 636, 65034,                                                 65034, 0.0, 7651.19580078125
90, -4388.819082975388, 2, 10.761662326000078, 433, 65467,                                                 65467, 0.0, 6179.619140625
91, -5377.2532641887665, 2, 15.153941903998202, 589, 66056,                                                 66056, 0.0, 9360.875
92, -3475.2699239254, 2, 6.118261468000128, 237, 66293,                                                 66293, 0.0, 5343.30517578125
93, -7291.343581557274, 2, 25.7826333089979, 1036, 67329,                                                 67329, 0.0, 6869.48974609375
94, -6646.670872807503, 2, 22.15325085099903, 880, 68209,                                                 68209, 0.0, 7342.97607421875
95, -5047.391459345818, 2, 12.160792426999251, 466, 68675,                                                 68675, 0.0, 7235.291015625
96, 2138.9566549658775, 1, 4.91261736999877, 183, 68858,                                                 68858, 0.0, 9670.7900390625
97, -3424.759443759918, 2, 6.744784655998956, 270, 69128,                                                 69128, 0.0, 6758.1904296875
98, -4967.354838848114, 2, 13.732355953001388, 541, 69669,                                                 69669, 0.0, 7600.6884765625
99, -6968.7915543317795, 2, 19.34372655399784, 762, 70431,                                                 70431, 0.0, 6899.638671875
100, -4313.6782557964325, 2, 11.730938168999273, 463, 70894,                                                 70894, 0.0, 8611.212890625
101, -5530.532853126526, 2, 11.969209361999674, 464, 71358,                                                 71358, 0.0, 9759.169921875
102, -7115.855419278145, 2, 30.19781002899981, 1219, 72577,                                                 72577, 0.0, 10491.0439453125
103, -3342.4987461566925, 2, 5.516517188996659, 216, 72793,                                                 72793, 0.0, 14079.650390625
104, -3885.1473186016083, 2, 7.321664574999886, 286, 73079,                                                 73079, 0.0, 12846.455078125
105, -4888.034530639648, 2, 16.37023306899937, 654, 73733,                                                 73733, 0.0, 15230.3994140625
106, -3577.5318942070007, 3, 9.320644921997882, 367, 74100,                                                 74100, 0.0, 21017.6015625
107, -7290.634132027626, 2, 26.16002889000083, 1045, 75145,                                                 75145, 0.0, 9322.1279296875
108, -3745.433261156082, 2, 6.516955213002802, 248, 75393,                                                 75393, 0.0, 11428.8046875
